iteration	category	target	delta	guard	status	description
0	baseline	docs/handoff/2026-07-22-revora-service-integrations-deep-audit-report.md	-	pass	baseline	25 canonical audit issues; build/typecheck/unit green; 3 Playwright failures; 13 flaky; 19 lint warnings
1	bug	I-10 duplicate browser Sentry initializer	1	pass	fixed	removed weaker second initializer; 11 focused tests and scoped lint pass
2	bug	I-11 Upstash timeout policy	1	pass	fixed	preserved SDK timeout reason; 44 focused tests, scoped lint, and typecheck pass
3	test	I-05 nested trial Playwright distDir collision	1	pass	fixed	moved trial output to a sibling; teardown unit, typecheck, lint, and 8 no-retry browser tests pass
4	test	I-05 nudge smoke FirstRunGate race	1	pass	fixed	used explicit stable check-surface bypass; exact case passes concurrently in all 3 projects without retries
5	test	I-05 cold-route browser chunk race	3	pass	fixed	warmed server and browser chunks serially; removed hidden a11y retries; all 6 formerly failing mobile cases pass with retries disabled
6	security	I-04 auth email stub and missing adapter	1	pass	fixed	production cannot select disk mailbox; stub artifacts are mode 600; no-DB Auth.js is valid; 9 units, lint, typecheck, and browser/log proof pass
7	bug	I-01 production model routing and telemetry	1	pass	fixed_local	production rejects unvalidated compatible routing; provider failures emit bounded failure telemetry; 46 focused tests, lint, typecheck, and build pass; deployment/provider proof remains external
8	bug	I-02 Railway hourly cron runner	1	pass	fixed_local	source-controlled runner rejects redirects and false success, attempts all four routes, and redacts secrets; 10 units, lint, typecheck, Docker build, and a zero-destroy Railway plan pass; apply remains approval-gated
9	security	I-03 Pantry Blob privacy	1	pass	fixed_local	private-store-only upload and order binding; authenticated bounded server read is inlined for vision; 99 focused tests, lint, and typecheck pass; private store provisioning/deploy proof remains external
10	bug	I-07 account deletion billing cancellation	1	pass	fixed_local	charge-capable Stripe cancellation must succeed before deletion; missing key/outage preserves account and pointer; active Play requires store cancellation; 7 units, lint, and typecheck pass
11	privacy	I-09 Blob deletion pointer loss	1	pass	fixed_local	account and health-data deletion now fail closed on Blob outage and preserve all object pointers for retry; 28 units, lint, and typecheck pass
12	reliability	I-08 paid Pantry email recovery	1	pass	fixed_local	Resend transport is bounded/nonthrowing and a paid order remains a durable retry task; inbox failure to sweep recovery sends once with a valid rotated claim token; 7 focused tests, lint, and typecheck pass
13	reliability	I-13 readiness masks stale dependencies	1	pass	fixed_local	/api/health now returns bounded 503 degradation reasons for database, rate-limit, and stale/never cron failures; /api/health/live remains a no-store process probe; 49 focused tests and scoped lint pass
14	reliability	I-23 nudge claim retained on send failure	1	pass	fixed_local	confirmed push failures release only their atomic claim for hourly retry, do not block other endpoints, return 503 with a bounded failed count, and withhold the success heartbeat; 40 focused tests and scoped lint pass
15	privacy	I-18 raw Stripe event retention	1	pass	fixed_local	durable inbox stores an allowlisted replay envelope, legacy rows are backfilled in bounded sweeps, Pantry email is rehydrated from Stripe, errors retain safe codes only, and terminal rows expire after 30 days; 47 focused tests and scoped lint pass
16	reliability	I-19 Resend delivery state and suppressions	1	pass	fixed_local	all app/auth sends create PII-minimized idempotent attempts; signed webhook events advance monotonic delivery state; hard bounces/complaints/suppressions block future sends; support free text stays behind admin auth; 86 focused tests, lint, typecheck, and migration check pass; provider webhook/DNS/inbox proof remains external
17	security	I-21 mutable CI supply chain and token defaults	1	pass	fixed_local	all actions and Postgres service images are digest/commit pinned, checkout credentials are disabled, workflow permissions/concurrency/runner are explicit, CODEOWNERS and weekly Dependabot coverage are present; 4 policy tests, lint, and YAML parse pass; GitHub branch/environment controls remain external
18	hardening	I-25 security contact, warning debt, and stale provider prose	1	pass	fixed_local	RFC 9116 contact route and bounded expiry are tested; authoritative docs match Umami Cloud and the current scheduler topology; generated E2E output is excluded; all 19 application warnings were removed and the cold repository lint passes with zero warnings
19	security	I-24 local credential file permissions	1	pass	fixed_workstation	.env, .env.local, and openr.md were verified by metadata only, tightened from 664 to owner-only 600, and a bounded credential-filename scan found no additional matching workspace files
20	database	I-15 migration provenance, least privilege, and connection budget	1	pass	fixed_local	production migration tooling requires distinct runtime/owner roles; runtime pool caps and timeouts are validated; a PII-safe live checker verifies DDL denial, DML grants, role separation, and exact journal hashes; 10 schema/config tests, lint, typecheck, and Drizzle check pass; live role/migration proof remains external
21	verification	I-23 next-hour nudge retry	0	fail	rework	full and focused unit runs prove the released claim is skipped one hour later because localHour no longer equals nudgeHour; implement explicit bounded retry eligibility, then rerun the complete release gate
22	reliability	I-23 bounded same-day nudge retry state	1	pass	fixed_local	migration 0017 adds explicit attempt, retry, and lease metadata; initial eligibility stays at the configured hour; confirmed failures retry at later non-quiet hourly ticks up to three attempts in the same local day; overlapping runs are atomically leased; success, gone endpoints, checks, opt-out, entitlement loss, cadence, journey stops, day rollover, partial failure, and heartbeat behavior have regressions; live scheduler/push receipt proof remains external
